Condition,ICD10_Code,Symptoms,Recommended_Specialty,Sub_Specialty,Urgency_Level,Hospital_Type,CHAS_Coverage,Alternative_Specialties,Triage_Color
Vulvar Ulcer,L12,Open sore on vulva,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Vulvar Mass,N89,Lump on external genitalia,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Vaginal Bleeding,N92,Abnormal bleeding from vagina,General Practice,None,MEDIUM,Clinic,Yes,Obstetrics & Gynaecology,YELLOW
Vaginal Pain,R10,Dyspareunia discomfort during intercourse,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Cystocele,N81,Bladder hernia bulging,General Practice,None,MEDIUM,Clinic,No,General Practice Urology,YELLOW
Rectocele,N81,Rectal hernia bulging,General Practice,None,MEDIUM,Clinic,No,General Practice Gastroenterology,YELLOW
Uterine Prolapse,N81,Uterus protruding from vagina,General Practice,None,MEDIUM,Hospital,No,Obstetrics & Gynaecology,YELLOW
Pelvic Pain,R10,Pain in pelvic region,General Practice,None,MEDIUM,Clinic,Yes,Obstetrics & Gynaecology,YELLOW
Pelvic Pressure,R10,Heaviness in pelvis,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Pelvic Mass,R10,Lump in pelvic area,General Practice,None,MEDIUM,Hospital,No,Obstetrics & Gynaecology,YELLOW
Infertility Primary,N97,Never achieved pregnancy,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Infertility Secondary,N97,Unable to achieve pregnancy again,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Recurrent Miscarriage,N96,Multiple consecutive miscarriages,General Practice,None,MEDIUM,Hospital,No,Obstetrics & Gynaecology,YELLOW
Erectile Issues Diabetes,E11,Erectile dysfunction in diabetics,General Practice,None,MEDIUM,Clinic,Yes,Urology Endocrinology,YELLOW
Sexual Dysfunction,F52,Impaired sexual function,General Practice,None,MEDIUM,Clinic,No,General Practice Psychiatry,YELLOW
Low Testosterone,E29,Reduced male hormone,General Practice,None,MEDIUM,Clinic,No,General Practice Endocrinology,YELLOW
High Testosterone,E28,Elevated male hormone,General Practice,None,MEDIUM,Clinic,No,General Practice Endocrinology,YELLOW
Gynecomastia,N62,Breast enlargement in males,General Practice,None,MEDIUM,Clinic,No,General Practice Endocrinology,YELLOW
Galactorrhea,N64,Inappropriate breast discharge,General Practice,None,MEDIUM,Clinic,No,General Practice Endocrinology,YELLOW
Amenorrhea,N91,Absence of menstrual period,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Oligomenorrhea,N91,Infrequent menstrual periods,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Menorrhagia,N92,Excessive menstrual bleeding,General Practice,None,MEDIUM,Clinic,Yes,Obstetrics & Gynaecology,YELLOW
Metrorrhagia,N93,Bleeding between periods,General Practice,None,MEDIUM,Clinic,Yes,Obstetrics & Gynaecology,YELLOW
Dysmenorrhea,N94,Painful menstrual periods,General Practice,None,MEDIUM,Clinic,Yes,Obstetrics & Gynaecology,YELLOW
Premenstrual Syndrome,N94,PMS symptoms before period,General Practice,None,MEDIUM,Clinic,Yes,Obstetrics & Gynaecology,YELLOW
Premenstrual Dysphoric,F32,Severe PMS mood changes,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Menopausal Symptoms,N95,Hot flashes mood changes,General Practice,None,MEDIUM,Clinic,Yes,Obstetrics & Gynaecology,YELLOW
Early Menopause,E28,Premature ovarian failure,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology Endocrinology,YELLOW
Vaginal Atrophy,N95,Tissue thinning dryness,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Hot Flashes,R50,Sudden heat sweating,General Practice,None,MEDIUM,Clinic,Yes,Obstetrics & Gynaecology,YELLOW
Night Sweats,R50,Excessive sweating at night,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Mood Swings,F31,Emotional fluctuations,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Sleep Disturbances,G47,Difficulty sleeping,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Vaginal Dryness,N95,Vaginal atrophy lubrication,General Practice,None,MEDIUM,Clinic,No,Obstetrics & Gynaecology,YELLOW
Joint Aches,M19,Muscle joint discomfort,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Muscle Aches,M79,Myalgia muscle pain,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Bone Aches,M89,Bone pain discomfort,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
General Weakness,R53,Overall weakness fatigue,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
General Malaise,R53,Feeling unwell discomfort,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Chills,R50,Feeling cold shivering,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Sweating,R61,Excessive perspiration,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Tremor,R25,Involuntary shaking,General Practice,None,MEDIUM,Clinic,Yes,Neurology,YELLOW
Twitching,R25,Involuntary muscle contractions,General Practice,None,MEDIUM,Clinic,No,Neurology,YELLOW
Numbness,R20,Lack of sensation,General Practice,None,MEDIUM,Clinic,Yes,Neurology,YELLOW
Tingling,R20,Pins and needles sensation,General Practice,None,MEDIUM,Clinic,Yes,Neurology,YELLOW
Weakness,R53,Loss of strength,General Practice,None,MEDIUM,Clinic,Yes,Neurology,YELLOW
Paralysis,R29,Loss of movement,General Practice,None,CRITICAL,Hospital,No,Emergency Medicine Neurology,RED
Partial Paralysis,R29,Paresis weakness,General Practice,None,MEDIUM,Hospital,Yes,Neurology,YELLOW
Tremor Essential,G25,Benign shaking,General Practice,None,LOW,Clinic,No,Neurology,GREEN
Tremor Parkinsonian,G20,Resting tremor in Parkinson's,General Practice,None,MEDIUM,Clinic,No,Neurology,YELLOW
Tremor Intention,G25,Action tremor intention,General Practice,None,MEDIUM,Clinic,No,Neurology,YELLOW
Gait Disturbance,R26,Abnormal walking pattern,General Practice,None,MEDIUM,Clinic,Yes,Neurology,YELLOW
Ataxia,R27,Lack of coordination,General Practice,None,MEDIUM,Hospital,No,Neurology,YELLOW
Dystonia,G24,Involuntary sustained muscle contractions,General Practice,None,MEDIUM,Clinic,No,Neurology,YELLOW
Choreoathetoid,G25,Involuntary abnormal movements,General Practice,None,MEDIUM,Hospital,No,Neurology,YELLOW
Myoclonus,G25,Involuntary muscle jerks,General Practice,None,MEDIUM,Hospital,No,Neurology,YELLOW
Tics,F95,Involuntary repetitive movements,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Stuttering,F80,Speech interruption repetition,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Apraxia,R48,Inability to execute learned movements,General Practice,None,MEDIUM,Hospital,No,Neurology,YELLOW
Agnosia,R48,Inability to recognize objects,General Practice,None,MEDIUM,Hospital,No,Neurology,YELLOW
Confusion,R41,Altered mental status,General Practice,None,MEDIUM,Hospital,Yes,Neurology,YELLOW
Delirium,F05,Acute confusion disorientation,General Practice,None,HIGH,Hospital,Yes,Emergency Medicine Psychiatry,YELLOW
Dementia,G30,Progressive cognitive decline,General Practice,None,MEDIUM,Clinic,No,Neurology,YELLOW
Mild Cognitive Impairment,G31,Memory problems preserved function,General Practice,None,MEDIUM,Clinic,No,Neurology,GREEN
Memory Loss,R41,Forgetfulness amnesia,General Practice,None,MEDIUM,Clinic,Yes,Neurology,YELLOW
Concentration Difficulty,R41,Inability to focus attention,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Distractibility,R41,Inability to maintain focus,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Disorientation,R41,Confusion about time place person,General Practice,None,MEDIUM,Hospital,Yes,Neurology,YELLOW
Hallucination,R44,Seeing hearing things not present,General Practice,None,MEDIUM,Hospital,No,Psychiatry,YELLOW
Delusion,F22,Fixed false beliefs,General Practice,None,MEDIUM,Hospital,No,Psychiatry,YELLOW
Paranoia,F22,Unfounded suspicion of others,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Suicidal Ideation,R45,Thoughts of suicide,General Practice,None,CRITICAL,Hospital,No,Psychiatry Emergency Medicine,RED
Homicidal Ideation,R45,Thoughts of harming others,General Practice,None,CRITICAL,Hospital,No,Psychiatry Emergency Medicine,RED
Aggression,R45,Violent behavior outbursts,General Practice,None,CRITICAL,Hospital,No,Psychiatry Emergency Medicine,RED
Self Harm,R45,Intentional injury to self,General Practice,None,HIGH,Hospital,No,Psychiatry,YELLOW
Catatonia,F20,Lack of movement or response,General Practice,None,HIGH,Hospital,No,Psychiatry,YELLOW
Apathy,F20,Lack of motivation interest,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Anhedonia,F32,Loss of pleasure in activities,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Fatigue Overwhelming,R53,Severe tiredness exhaustion,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Lethargy,R53,Drowsiness sluggishness,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Hyperactivity,F90,Excessive activity restlessness,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Impulsivity,F90,Acting without thinking,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Emotional Lability,F30,Mood swings instability,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Irritability,R45,Easily provoked anger,General Practice,None,MEDIUM,Clinic,Yes,Psychiatry,YELLOW
Anger Outburst,R45,Sudden intense anger,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Anxiety Severe,F41,Overwhelming worry panic,General Practice,None,MEDIUM,Hospital,No,Psychiatry,YELLOW
Panic Attack,F41,Sudden intense fear,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Phobia,F40,Irrational fear of specific object,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Social Anxiety,F40,Fear of social situations,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Agoraphobia,F40,Fear of open public spaces,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Avoidance,F40,Avoiding feared situation,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Obsession,F42,Intrusive unwanted thoughts,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Compulsion,F42,Repetitive behaviors urges,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Rumination,F41,Repetitive worry thought patterns,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Perfectionism,F32,Excessive striving standards,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
People Pleasing,F32,Excessive need to please others,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Conflict Avoidance,F32,Avoiding confrontation,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Excessive Guilt,F32,Overwhelming sense of guilt,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Shame,F32,Deep embarrassment humiliation,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Negative Thinking,F32,Pessimistic thought patterns,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Catastrophizing,F32,Assuming worst case scenarios,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Black And White Thinking,F32,All or nothing thinking,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Overthinking,F41,Excessive rumination analysis,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Analysis Paralysis,F41,Unable to make decisions,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Decision Fatigue,R53,Difficulty making decisions,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Procrastination,F32,Delaying tasks actions,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Lack Of Motivation,F32,Difficulty initiating activities,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Loss Of Interest,F32,Anhedonia no interest,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Loneliness,Z60,Feeling isolated alone,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Isolation,Z60,Self imposed withdrawal,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Relationship Issues,Z63,Conflict discord,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Family Conflict,Z63,Family discord stress,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Work Stress,Z56,Job related stress,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Adjustment Disorder,F43,Difficulty coping with change,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Stress Response,F43,Reaction to stressor,General Practice,None,MEDIUM,Clinic,Yes,General Practice,YELLOW
Burnout,Z73,Exhaustion from overwork,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Compassion Fatigue,Z73,Emotional exhaustion from helping,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Compassion Satisfaction,R45,Positive from helping others,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Grief,F43,Normal bereavement response,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Complicated Grief,F43,Prolonged intense grief,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Anger In Grief,R45,Anger as grief response,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Bargaining,F43,Attempting to negotiate loss,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Denial In Grief,F43,Denying loss reality,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Acceptance,R41,Coming to terms with change,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Resilience Building,Z59,Developing coping strategies,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Coping Skills,Z59,Strategies for managing stress,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Stress Management,Z56,Techniques to reduce stress,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Mindfulness,R50,Present moment awareness,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Meditation,Z76,Mental practice for wellness,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Relaxation Techniques,Z73,Methods to induce relaxation,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Deep Breathing,R06,Diaphragmatic breathing,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Progressive Muscle Relaxation,M79,Tensing releasing muscles,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Visualization,R41,Mental imagery technique,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Grounding,R41,Technique to return to present,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Body Scan,R41,Awareness of bodily sensations,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Journaling,Z59,Writing for emotional processing,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Art Therapy,R41,Creative expression for healing,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Music Therapy,R41,Music for therapeutic benefit,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Dance Therapy,R41,Movement for expression,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Exercise Therapy,R53,Physical activity for wellness,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Yoga,R06,Mind body practice,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Tai Chi,R06,Gentle movement practice,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Qi Gong,R06,Chinese energy cultivation,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Acupuncture,M79,Traditional needle therapy,General Practice,None,MEDIUM,Clinic,No,General Practice,GREEN
Herbal Medicine,Z51,Plant based remedies,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Homeopathy,Z51,Dilute remedy therapy,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Naturopathy,Z51,Natural healing practices,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Chiropractic,M99,Spinal manipulation therapy,General Practice,None,LOW,Clinic,No,General Practice,YELLOW
Massage Therapy,Z51,Therapeutic muscle manipulation,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Aromatherapy,R45,Essential oil therapy,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Crystal Therapy,Z51,Crystal healing practice,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Energy Healing,Z51,Chakra meridian healing,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Reiki,Z51,Japanese energy healing,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Hypnotherapy,F44,Guided trance therapy,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Cognitive Behavioral Therapy,F32,Thought pattern therapy,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Psychotherapy,F32,Talk therapy treatment,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Counseling,F32,Professional guidance support,General Practice,None,MEDIUM,Clinic,Yes,Psychiatry,YELLOW
Psychodynamic Therapy,F32,Unconscious pattern therapy,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Humanistic Therapy,F32,Client centered therapy,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Existential Therapy,F32,Meaning purpose exploration,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Family Therapy,Z63,Family system treatment,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Couples Therapy,Z63,Relationship counseling,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Group Therapy,F32,Peer support group,General Practice,None,MEDIUM,Clinic,Yes,Psychiatry,YELLOW
Support Group,Z59,Peer support gathering,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Rehabilitation Program,Z50,Recovery treatment program,General Practice,None,MEDIUM,Hospital,No,General Surgery,YELLOW
Inpatient Treatment,Z50,Hospital based care,General Practice,None,MEDIUM,Hospital,No,General Practice,YELLOW
Outpatient Treatment,Z51,Non hospital based care,General Practice,None,MEDIUM,Clinic,Yes,General Practice,GREEN
Partial Hospitalization,Z50,Day hospital program,General Practice,None,MEDIUM,Hospital,No,General Practice,YELLOW
Intensive Outpatient,Z51,Multiple sessions per week,General Practice,None,MEDIUM,Clinic,No,General Practice,YELLOW
Teletherapy,Z51,Remote therapy sessions,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
Crisis Counseling,Z59,Emergency mental health support,General Practice,None,CRITICAL,Hospital,No,Psychiatry Emergency Medicine,RED
Suicide Prevention,Z91,Preventing suicide risk,General Practice,None,CRITICAL,Hospital,No,Psychiatry Emergency Medicine,RED
Crisis Intervention,Z59,Acute mental health response,General Practice,None,CRITICAL,Hospital,No,Psychiatry Emergency Medicine,RED
De Escalation Techniques,R45,Methods to reduce agitation,General Practice,None,MEDIUM,Hospital,No,Psychiatry,YELLOW
Harm Reduction,F10,Minimizing substance use harms,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Medication Management,Z51,Medication treatment plan,General Practice,None,MEDIUM,Clinic,Yes,General Practice Psychiatry,YELLOW
Substance Abuse Treatment,F10,Addiction recovery program,General Practice,None,MEDIUM,Hospital,No,Psychiatry,YELLOW
Addiction Counseling,F10,Addiction focused therapy,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Withdrawal Management,F10,Detoxification medical support,General Practice,None,HIGH,Hospital,No,Psychiatry,YELLOW
Medication Assisted Treatment,F10,Opioid substitution therapy,General Practice,None,MEDIUM,Clinic,No,Psychiatry,YELLOW
Narcotics Anonymous,F10,Peer recovery program,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Alcoholics Anonymous,F10,Peer recovery program,General Practice,None,LOW,Clinic,No,General Practice,GREEN
Cognitive Rehabilitation,R41,Cognitive training therapy,General Practice,None,MEDIUM,Hospital,No,Neurology,YELLOW
Physical Rehabilitation,R53,Physical therapy program,General Practice,None,MEDIUM,Hospital,Yes,Physiotherapy,YELLOW
Occupational Therapy,Z51,Functional activity therapy,General Practice,None,MEDIUM,Hospital,Yes,Physiotherapy,YELLOW
Speech Therapy,R48,Speech language therapy,General Practice,None,MEDIUM,Hospital,Yes,Physiotherapy,YELLOW
Vision Rehabilitation,H53,Visual function training,General Practice,None,MEDIUM,Hospital,No,Ophthalmology,YELLOW
Hearing Rehabilitation,H91,Hearing aid fitting training,General Practice,None,MEDIUM,Clinic,No,Otolaryngology,YELLOW
Palliative Care,Z51,Comfort focused care,General Practice,None,MEDIUM,Hospital,No,General Practice,YELLOW
Hospice Care,Z51,End of life care,General Practice,None,MEDIUM,Hospital,No,General Practice,YELLOW
Advance Care Planning,Z51,Future care wishes discussion,General Practice,None,LOW,Clinic,Yes,General Practice,GREEN
